iter	Logloss
0	0.6323873049
1	0.5804165988
2	0.5380841132
3	0.5034635155
4	0.4710591483
5	0.4435891831
6	0.420576381
7	0.4003421202
8	0.384284545
9	0.3698089999
10	0.355960227
11	0.3445905797
12	0.3349451416
13	0.3260966284
14	0.3195453674
15	0.3122289826
16	0.3057340988
17	0.29968605
18	0.2946414059
19	0.2892720217
20	0.2856955107
21	0.2822515631
22	0.2788113448
23	0.2754124888
24	0.2725220452
25	0.269440014
26	0.2676988874
27	0.2660394165
28	0.2643175757
29	0.2626138916
30	0.2613604851
31	0.2601259819
32	0.2581342084
33	0.256631652
34	0.2557247879
35	0.254721256
36	0.2534438954
37	0.252718272
38	0.2517920553
39	0.2506799458
40	0.2485676097
41	0.2476044436
42	0.2470525796
43	0.2461470477
44	0.24551562
45	0.2446676531
46	0.2438325382
47	0.2427269963
48	0.2424433634
49	0.2420900808
50	0.2415836357
51	0.2410189692
52	0.2400446236
53	0.2396905515
54	0.2384543223
55	0.2379192443
56	0.2374235994
57	0.2362360347
58	0.2354761551
59	0.2350099294
60	0.2347129477
61	0.23419408
62	0.2338367566
63	0.233365675
64	0.2325177048
65	0.2319164006
66	0.2317789596
67	0.2315605223
68	0.2312449491
69	0.2306227584
70	0.2304398033
71	0.2301625294
72	0.2293363621
73	0.2293091905
74	0.2285587378
75	0.228299266
76	0.2273368875
77	0.2264725088
78	0.2255580596
79	0.2253181791
80	0.2247861736
81	0.2246661155
82	0.2240908061
83	0.2238633664
84	0.2236675579
85	0.2235274239
86	0.2231563391
87	0.2223513819
88	0.2219288462
89	0.2213120108
90	0.2209452964
91	0.2206047308
92	0.2205463768
93	0.2201524134
94	0.2196295828
95	0.2194534485
96	0.2192277567
97	0.2189517839
98	0.2185271943
99	0.2183240479
