iter	Passed	Remaining
0	159	15816
1	166	8145
2	174	5641
3	180	4322
4	186	3537
5	194	3051
6	201	2671
7	210	2421
8	216	2188
9	226	2039
10	232	1883
11	241	1767
12	247	1653
13	254	1565
14	261	1480
15	269	1412
16	276	1351
17	283	1292
18	294	1253
19	305	1221
20	311	1172
21	322	1142
22	333	1115
23	341	1081
24	347	1042
25	356	1013
26	362	980
27	371	956
28	377	924
29	387	904
30	394	878
31	403	857
32	410	833
33	422	820
34	430	798
35	438	780
36	444	757
37	452	737
38	457	715
39	464	696
40	471	678
41	477	659
42	484	641
43	490	624
44	498	609
45	504	591
46	510	575
47	517	561
48	524	545
49	531	531
50	537	516
51	543	501
52	550	487
53	555	473
54	561	459
55	567	445
56	573	432
57	579	419
58	585	406
59	590	393
60	596	381
61	602	369
62	607	356
63	614	345
64	619	333
65	626	322
66	632	311
67	637	299
68	643	289
69	648	278
70	654	267
71	660	256
72	666	246
73	669	235
74	676	225
75	682	215
76	687	205
77	694	195
78	699	185
79	705	176
80	712	167
81	717	157
82	723	148
83	729	138
84	734	129
85	740	120
86	746	111
87	751	102
88	758	93
89	764	84
90	769	76
91	776	67
92	781	58
93	787	50
94	794	41
95	799	33
96	806	24
97	811	16
98	816	8
99	823	0
